site__ YYMMMDD yyyy.yyyy _MJD_______ time____ __east(m)_______ _north(m)________ ____up(m)_______ reflat(deg)_____ reflon(deg)_____ Height(m)_______
950203 96MAY09 1996.3524 50212.47839 12:00:00 -3.9359668582E+06 3.1865311927E+06 3.8645628186E+06 3.7533693405E+01 1.4100661136E+02 5.3529053610E+01
950203 96MAY10 1996.3551 50213.46660 12:00:00 -3.9359668088E+06 3.1865311967E+06 3.8645627852E+06 3.7533693363E+01 1.4100661098E+02 5.3480254576E+01
950203 96MAY11 1996.3579 50214.49139 12:00:00 -3.9359668467E+06 3.1865311960E+06 3.8645628106E+06 3.7533693386E+01 1.4100661125E+02 5.3518738608E+01
950203 96MAY12 1996.3606 50215.47959 12:00:00 -3.9359668391E+06 3.1865312138E+06 3.8645627980E+06 3.7533693266E+01 1.4100661104E+02 5.3515260016E+01
950203 96MAY13 1996.3633 50216.46779 12:00:00 -3.9359668548E+06 3.1865311998E+06 3.8645628079E+06 3.7533693319E+01 1.4100661128E+02 5.3523982084E+01
950203 96MAY14 1996.3661 50217.49259 12:00:00 -3.9359668589E+06 3.1865311951E+06 3.8645628146E+06 3.7533693365E+01 1.4100661135E+02 5.3528245674E+01
950203 96MAY15 1996.3688 50218.48080 12:00:00 -3.9359668447E+06 3.1865311938E+06 3.8645628045E+06 3.7533693358E+01 1.4100661126E+02 5.3512691909E+01
950203 96MAY16 1996.3715 50219.46899 12:00:00 -3.9359668637E+06 3.1865311832E+06 3.8645628041E+06 3.7533693311E+01 1.4100661149E+02 5.3518869344E+01
950203 96MAY17 1996.3743 50220.49380 12:00:00 -3.9359668557E+06 3.1865311887E+06 3.8645627862E+06 3.7533693198E+01 1.4100661138E+02 5.3505777893E+01
950203 96MAY18 1996.3770 50221.48199 12:00:00 -3.9359668497E+06 3.1865311675E+06 3.8645627796E+06 3.7533693250E+01 1.4100661152E+02 5.3487480694E+01
950203 96MAY19 1996.3797 50222.47020 12:00:00 -3.9359668652E+06 3.1865311753E+06 3.8645628020E+06 3.7533693317E+01 1.4100661157E+02 5.3514572543E+01
950203 96MAY20 1996.3825 50223.49499 12:00:00 -3.9359668673E+06 3.1865311897E+06 3.8645628038E+06 3.7533693271E+01 1.4100661146E+02 5.3524148715E+01
950203 96MAY21 1996.3852 50224.48319 12:00:00 -3.9359668623E+06 3.1865311879E+06 3.8645628084E+06 3.7533693331E+01 1.4100661144E+02 5.3522971353E+01
950203 96MAY22 1996.3879 50225.47139 12:00:00 -3.9359668500E+06 3.1865311942E+06 3.8645628042E+06 3.7533693332E+01 1.4100661129E+02 5.3515975283E+01
950203 96MAY23 1996.3907 50226.49619 12:00:00 -3.9359668575E+06 3.1865311969E+06 3.8645628040E+06 3.7533693289E+01 1.4100661132E+02 5.3521823155E+01
950203 96MAY24 1996.3934 50227.48440 12:00:00 -3.9359668756E+06 3.1865311984E+06 3.8645628023E+06 3.7533693195E+01 1.4100661144E+02 5.3532691518E+01
950203 96MAY25 1996.3961 50228.47259 12:00:00 -3.9359668629E+06 3.1865311847E+06 3.8645627961E+06 3.7533693252E+01 1.4100661147E+02 5.3514250922E+01
950203 96MAY26 1996.3989 50229.49740 12:00:00 -3.9359668625E+06 3.1865311808E+06 3.8645627906E+06 3.7533693228E+01 1.4100661150E+02 5.3508707626E+01
950203 96MAY27 1996.4016 50230.48559 12:00:00 -3.9359668637E+06 3.1865311837E+06 3.8645627934E+06 3.7533693233E+01 1.4100661148E+02 5.3512600093E+01
950203 96MAY28 1996.4043 50231.47380 12:00:00 -3.9359668684E+06 3.1865312083E+06 3.8645628104E+06 3.7533693249E+01 1.4100661130E+02 5.3538128555E+01
950203 96MAY29 1996.4071 50232.49860 12:00:00 -3.9359668562E+06 3.1865311878E+06 3.8645627805E+06 3.7533693158E+01 1.4100661139E+02 5.3502164380E+01
950203 96MAY30 1996.4098 50233.48679 12:00:00 -3.9359668547E+06 3.1865311876E+06 3.8645627846E+06 3.7533693195E+01 1.4100661138E+02 5.3503637923E+01
950203 96MAY31 1996.4125 50234.47499 12:00:00 -3.9359668275E+06 3.1865311803E+06 3.8645627929E+06 3.7533693395E+01 1.4100661125E+02 5.3488287791E+01
950203 96JUN01 1996.4153 50235.49979 12:00:00 -3.9359668286E+06 3.1865311892E+06 3.8645628026E+06 3.7533693429E+01 1.4100661118E+02 5.3499316160E+01
950203 96JUN02 1996.4180 50236.48800 12:00:00 -3.9359668627E+06 3.1865311870E+06 3.8645627917E+06 3.7533693213E+01 1.4100661145E+02 5.3512594699E+01
950203 96JUN03 1996.4207 50237.47619 12:00:00 -3.9359668597E+06 3.1865311868E+06 3.8645627873E+06 3.7533693195E+01 1.4100661143E+02 5.3507965310E+01
950203 96JUN04 1996.4234 50238.46440 12:00:00 -3.9359668615E+06 3.1865311863E+06 3.8645628002E+06 3.7533693282E+01 1.4100661144E+02 5.3516684256E+01
950203 96JUN05 1996.4262 50239.48919 12:00:00 -3.9359668611E+06 3.1865311946E+06 3.8645627887E+06 3.7533693172E+01 1.4100661137E+02 5.3513573112E+01
950203 96JUN06 1996.4289 50240.47740 12:00:00 -3.9359668555E+06 3.1865311825E+06 3.8645627861E+06 3.7533693220E+01 1.4100661143E+02 5.3502500047E+01
950203 96JUN07 1996.4316 50241.46559 12:00:00 -3.9359668517E+06 3.1865311786E+06 3.8645627986E+06 3.7533693339E+01 1.4100661144E+02 5.3505827328E+01
950203 96JUN08 1996.4344 50242.49039 12:00:00 -3.9359668429E+06 3.1865311999E+06 3.8645628060E+06 3.7533693355E+01 1.4100661119E+02 5.3515540115E+01
950203 96JUN09 1996.4371 50243.47860 12:00:00 -3.9359668578E+06 3.1865311973E+06 3.8645627832E+06 3.7533693138E+01 1.4100661132E+02 5.3509535706E+01
950203 96JUN10 1996.4398 50244.46679 12:00:00 -3.9359668519E+06 3.1865311998E+06 3.8645627891E+06 3.7533693197E+01 1.4100661126E+02 5.3510741240E+01
950203 96JUN11 1996.4426 50245.49160 12:00:00 -3.9359668443E+06 3.1865311937E+06 3.8645627890E+06 3.7533693249E+01 1.4100661126E+02 5.3502952446E+01
